user_id,activity_id,rating,timestamp
233,Listen to Soothing Music Without Lyrics – Helps quiet self-criticism and promote relaxation.,5,2025-03-07T21:38:24.691358+00:00
392,Unfollow Triggers on Social Media – Remove content that negatively affects self-perception.,4,2025-02-14T21:38:24.691565+00:00
482,Set a Mini Goal & Achieve It – Accomplish a small task to boost confidence.,4,2025-03-11T21:38:24.691571+00:00
402,Mindful Coloring – Draw or color to distract and reset your focus.,5,2025-03-14T21:38:24.691574+00:00
303,Send a Message to Someone You Care About – Strengthen social bonds through communication.,4,2025-03-01T21:38:24.691576+00:00
378,Write Down What You Love About Someone – Focus on positive attributes to strengthen connections.,4,2025-03-12T21:38:24.691579+00:00
353,"Mirror Affirmations – Look in the mirror and say: ""I am enough.""",4,2025-02-19T21:38:24.691581+00:00
467,Listen to Nature Sounds – Play ocean waves or birds chirping for 5 minutes.,4,2025-02-24T21:38:24.691584+00:00
178,Listen to a Song That Reminds You of a Specific Time – Experience emotional connections through music.,5,2025-02-22T21:38:24.691586+00:00
413,"Mirror Affirmations – Look in the mirror and say: ""I am enough.""",4,2025-03-03T21:38:24.691588+00:00
342,Unfollow Triggers on Social Media – Remove content that negatively affects self-perception.,3,2025-02-24T21:38:24.691590+00:00
283,"Count Backward from 100 by 7s – Forces logical thinking, distracting from anger.",5,2025-03-12T21:38:24.691592+00:00
246,Repeat: “I am capable and strong.” – Use verbal affirmations to build confidence.,3,2025-03-14T21:38:24.691594+00:00
139,Read a Short Story with Deep Emotion – Engage with narratives that foster empathy.,3,2025-02-24T21:38:24.691597+00:00
378,Affirmation: “I Am Enough” – Strengthen self-worth by affirming personal value.,3,2025-03-07T21:38:24.691599+00:00
305,"Try a ""Yes, I Can"" Mantra – Repeat this phrase 10 times to reinforce self-efficacy.",4,2025-03-12T21:38:24.691601+00:00
480,Power Pose for 2 Minutes – Stand confidently with hands on hips and chin up to boost self-assurance.,5,2025-02-28T21:38:24.691603+00:00
108,Write Down What You Love About Someone – Focus on positive attributes to strengthen connections.,3,2025-02-27T21:38:24.691605+00:00
404,Reframe the Thought – Write one lesson learned from the experience.,5,2025-03-15T21:38:24.691607+00:00
488,"Rocking Motion – Sit and rock gently, or sway while standing to self-soothe.",5,2025-02-27T21:38:24.691609+00:00
383,Listen to an Instrumental Song You’ve Never Heard – Engage curiosity through unfamiliar music.,3,2025-03-03T21:38:24.691611+00:00
182,Watch a Comedy Skit – Laughter boosts immunity and happiness.,5,2025-02-21T21:38:24.691613+00:00
244,Holding a Weighted Object – Hug a pillow or weighted blanket for comfort.,4,2025-02-22T21:38:24.691615+00:00
377,Smell a Familiar Scent from Your Past – Use scent to trigger nostalgic memories.,3,2025-02-16T21:38:24.691617+00:00
384,Listen to Soothing Music Without Lyrics – Helps quiet self-criticism and promote relaxation.,4,2025-03-04T21:38:24.691619+00:00
271,"Warm Drink Ritual – Hold and sip a warm tea or coffee, focusing on the warmth and taste.",3,2025-03-08T21:38:24.691621+00:00
206,"Try a ""Yes, I Can"" Mantra – Repeat this phrase 10 times to reinforce self-efficacy.",5,2025-02-20T21:38:24.691623+00:00
475,Exhale Like a Lion’s Roar – Take a deep breath and exhale forcefully with an open mouth.,4,2025-03-12T21:38:24.691625+00:00
263,"Stretching Routine – Stretch arms, neck, and legs to release physical tension.",5,2025-03-06T21:38:24.691627+00:00
497,Humming or Singing – Hum a tune or sing a song that makes you feel comforted.,5,2025-02-20T21:38:24.691629+00:00
403,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,4,2025-03-14T21:38:24.691631+00:00
180,Pet or Hug Yourself – Use self-soothing techniques to generate warmth and comfort.,4,2025-03-08T21:38:24.691633+00:00
294,"Self-Love Affirmations – Repeat: ""I am worthy of love and trust"" to reinforce self-acceptance.",4,2025-03-09T21:38:24.691635+00:00
496,Read or Watch an Inspiring Story – Draw motivation from stories of perseverance and success.,5,2025-03-15T21:38:24.691637+00:00
387,Guided Meditation on Self-Acceptance – Sit quietly and focus on accepting your imperfections.,4,2025-03-04T21:38:24.691639+00:00
221,Power Pose for 2 Minutes – Stand confidently with hands on hips and chin up to boost self-assurance.,5,2025-03-04T21:38:24.691641+00:00
281,Listen to a Song That Reminds You of a Specific Time – Experience emotional connections through music.,5,2025-03-12T21:38:24.691643+00:00
372,Hold Ice Cubes in Hands – The cold sensation calms anger quickly.,4,2025-03-12T21:38:24.691645+00:00
429,Dance to Your Favorite Song – Move your body freely to release feel-good endorphins.,4,2025-03-02T21:38:24.691647+00:00
160,"Write a ""Worst-Case Scenario"" & Counter It – Helps reframe negativity.",5,2025-02-22T21:38:24.691649+00:00
379,"Clench & Release Fists – Clench fists tight for 5 sec, then release, repeating 5 times.",5,2025-03-06T21:38:24.691651+00:00
326,Do One Thing That Makes You Feel Loved – Engage in a comforting activity that brings joy and warmth.,3,2025-03-11T21:38:24.691653+00:00
410,Close Your Eyes & Touch an Object – Identify an object just by its texture to enhance sensory awareness.,3,2025-02-24T21:38:24.691655+00:00
369,Read a Random Wikipedia Page – Discover something new by exploring unexpected topics.,4,2025-03-04T21:38:24.691657+00:00
218,Send a Message to Someone You Care About – Strengthen social bonds through communication.,3,2025-02-24T21:38:24.691659+00:00
280,Pet or Hug Yourself – Use self-soothing techniques to generate warmth and comfort.,4,2025-03-15T21:38:24.691661+00:00
317,"Clench & Release Fists – Clench fists tight for 5 sec, then release, repeating 5 times.",4,2025-03-15T21:38:24.691663+00:00
242,"Ask a “What If?” Question – Think creatively about possibilities, such as time travel.",4,2025-03-08T21:38:24.691665+00:00
148,List 3 Skills You Have Mastered – Reinforce self-trust by recognizing personal achievements.,4,2025-02-21T21:38:24.691667+00:00
401,List 3 Strengths Unique to You – Focus on personal qualities that make you special.,5,2025-02-28T21:38:24.691669+00:00
461,Fast 5-Minute Walk – Walk briskly to release pent-up frustration.,5,2025-03-14T21:38:24.691672+00:00
255,Recall a Funny or Embarrassing Moment & Laugh About It – Embrace emotional growth through humor.,5,2025-03-04T21:38:24.691674+00:00
106,Go for a Walk in a New Direction – Explore a new route to experience novelty and excitement.,4,2025-02-18T21:38:24.691676+00:00
268,"Stretching Routine – Stretch arms, neck, and legs to release physical tension.",5,2025-02-20T21:38:24.691678+00:00
247,"Hand-on-Heart Exercise – Close your eyes, place your hand on your heart, and take deep breaths to cultivate self-compassion.",4,2025-02-17T21:38:24.691680+00:00
326,List 3 Things You’ve Achieved Lately – Remind yourself of personal progress.,3,2025-03-01T21:38:24.691682+00:00
491,List 3 Things You’ve Achieved Lately – Remind yourself of personal progress.,4,2025-02-16T21:38:24.691684+00:00
372,Watch a Favorite Childhood Cartoon or Movie – Reconnect with joyful memories.,5,2025-03-12T21:38:24.691686+00:00
426,List 3 Things You're Grateful For – Write 3 small positive things from today.,5,2025-02-17T21:38:24.691688+00:00
342,Draw a Symbol of Trust – Visually represent trust to redefine what it means to you.,4,2025-02-26T21:38:24.691690+00:00
495,"Self-Compassion Letter – Write a kind letter to yourself, as if comforting a friend.",5,2025-03-01T21:38:24.691692+00:00
306,Set a Mini Goal & Achieve It – Accomplish a small task to boost confidence.,3,2025-03-11T21:38:24.691694+00:00
118,Sway to Music Slowly – Play a calming song and gently move your body.,3,2025-02-21T21:38:24.691696+00:00
191,"Box Breathing – Inhale for 4 sec, hold for 4 sec, exhale for 4 sec, hold for 4 sec. Repeat 5 times.",4,2025-02-18T21:38:24.691698+00:00
219,Listen to Soothing Music Without Lyrics – Helps quiet self-criticism and promote relaxation.,4,2025-03-12T21:38:24.691700+00:00
316,Listen to a Song That Reminds You of a Specific Time – Experience emotional connections through music.,4,2025-02-22T21:38:24.691702+00:00
300,Write & Rip Technique – Write down worries and tear the paper. Imagine throwing stress away.,5,2025-03-07T21:38:24.691704+00:00
239,"Smile at a Stranger – Foster social connection through a simple, kind gesture.",4,2025-03-04T21:38:24.691706+00:00
302,Smell Something Pleasant – Inhale a favorite scent like citrus or lavender.,3,2025-03-05T21:38:24.691708+00:00
418,Read a Short Story with Deep Emotion – Engage with narratives that foster empathy.,3,2025-02-19T21:38:24.691710+00:00
178,Write Down a Lesson From Your Past That Still Guides You – Reflect on how past experiences have shaped you.,5,2025-03-10T21:38:24.691712+00:00
223,Stretch Arms Up & Smile – Changing posture can improve mood instantly.,5,2025-02-22T21:38:24.691714+00:00
129,Humming or Singing – Hum a tune or sing a song that makes you feel comforted.,4,2025-02-25T21:38:24.691716+00:00
356,Hold Ice Cubes in Hands – The cold sensation calms anger quickly.,3,2025-03-05T21:38:24.691718+00:00
179,Tense & Release Your Hands – Helps release built-up guilt and tension.,5,2025-03-15T21:38:24.691720+00:00
102,Join an Online Forum or Community Related to Your Interests – Engage with like-minded individuals.,3,2025-03-02T21:38:24.691722+00:00
193,Write Down “What Belonging Means to Me” – Define what belonging looks like in your life.,5,2025-03-05T21:38:24.691724+00:00
498,Listen to a Podcast About Human Stories – Feel connected through shared experiences.,4,2025-03-04T21:38:24.691726+00:00
243,"Box Breathing – Inhale for 4 sec, hold for 4 sec, exhale for 4 sec, hold for 4 sec. Repeat 5 times.",4,2025-02-19T21:38:24.691728+00:00
421,"Write a Gratitude Letter to Someone – Express appreciation, even if the letter isn’t sent.",5,2025-03-15T21:38:24.691731+00:00
154,Write a Question You’d Love to Find the Answer To – Spark curiosity by formulating an intriguing question.,3,2025-02-28T21:38:24.691733+00:00
414,Eat Something You Love Slowly – Mindful eating enhances the experience.,3,2025-02-22T21:38:24.691735+00:00
477,Listen to a Podcast About Human Stories – Feel connected through shared experiences.,3,2025-03-01T21:38:24.691737+00:00
